clasificacion,texto
1,No se divulgaron resultados oficiales previos al cierre de mesas en el balotaje
0,"Se difundieron en redes sociales supuestos primeros ""resultados oficiales"" del voto de argentinos en el exterior. La lista enumeraba a los candidatos mas votados entre Sergio Massa, de Union por la Patria, y Javier Mileil, de La Libertad Avanza, en paises como Nueva Zelanda, Australia y Malasia. "
1,"En el balotaje 2023, las boletas con el numero de lista arrancado se consideran validas"
0,"En el balotaje 2023, las boletas con el numero de lista arrancado se consideran invalidas"
0,"Miles de usuarios denuncian que, durante la jornada electoral del balotaje, hay boletas de La Libertad Avanza en el cuarto oscuro a las que se les arranco el numero de lista, y advierten que son invalidas."
1,"Miles de usuarios denuncian que, durante la jornada electoral del balotaje, hay boletas de La Libertad Avanza en el cuarto oscuro a las que se les arranco el numero de lista, y advierten que son invalidas. Pero esto es falso. Aunque tenga esta rotura, una boleta es valida siempre que este visible el nombre del partido y la categoria de candidatos a elegir, confirmo a Reverso la Camara Nacional Electoral."
0,"Sergio Massa pronuncio la frase ""voy a poder con los narcos porque los conozco"" en el ultimo debate segun Infobae"
0,"Decenas de miles de usuarios comparten una placa de Infobae con una frase del candidato presidencial de Union por la Patria, diciendo que va ""a poder con los narcos"" porque los conoce. Pero es falsa. Segun las publicaciones virales, el funcionario habria hecho esos comentarios durante el ultimo debate presidencial, el 12 de noviembre."
0,"Mural de Lionel Messi lleva escrito ""Aguante Massa"""
0,"Aparece Mural de Lionel Messi en Rosario con la frase ""Aguante Massa, forros"", en alusion al candidato presidencial de Union por la Patria. "
1,"Durante las elecciones es usual que se viralice desinformacion electoral. La desinformacion en Tik Tok se caracteriza por contar con videos compilados con diversos fragmentos y hechos aislados sin contexto. En X, los comentarios de usuarios con X Premium  obtienen una optimizacion que los posiciona mas arriba y en Spotify circulan podcasts que reproducen el contenido falso de redes sociales. "
0,"Javier Milei, en el debate por el balotaje 2023: ""En la lucha contra el narcotrafico no hay (en Rosario) un solo policia preso"""
1,"De acuerdo con los datos de la Procuraduria de Narcocriminalidad, al menos 3 policias fueron condenados con pena de prision en el marco de causas por narcotrafico en el Departamento de Rosario en 2021."
1,"Es verdadero que Union por la Patria pago a Google por anuncios sobre el sitio ""Loquedicemilei"" durante el ultimo debate"
1,"El Centro de Transparencia de Publicidad Politica de Google muestra que desde el 11 de noviembre (dia previo al debate) hasta el 13 de noviembre pasado el anunciante ""Union por la Patria"" pago por 12 anuncios para promocionar el sitio web ""Loquedicemilei""."
0,Sergio Massa propone arancelar la universidad publica segun Clarin
1,"Solamente el 3,5% de los delitos son condenados en la Argentina"
1,"En 2021, se denunciaron un total de 1,7 millones de hechos presuntamente delictivos en la Argentina, a la vez que se registraron un total de 50 mil sentencias penales condenatorias, segun datos oficiales. Esto da como resultado un 2,9% de delitos con condena, cifra similar a la expresada por Milei."
0,AySA le pago a Pablo Echarri $ 15 millones publico LN+
1,Es falso que AySA le pago a Pablo Echarri $ 15 millones y la supuesta noticia no fue publicada por LN+
1,"Circula una foto del candidato presidencial de La Libertad Avanza consumiendo lo que parece un medicamento, y en redes se senala que el hecho ocurrio antes del tercer debate presidencial. Sin embargo, ciertos elementos de la imagen dan cuenta de que no fue tomada en ese contexto."
1,"En 2011 se registro el punto mas alto de PBI per capita en la Argentina, bajo la metodologia de la Paridad de Poder Adquisitivo. Desde entonces, este indicador registro una caida de entre un 9% y un 10%, una reduccion significativa."
0,"Javier Milei, en el debate por el balotaje 2023: ""Cuando uno mira el producto per capita argentino, esta 15% por debajo (de 2011)"""
1,"Milei plantea la vuelta de las AFJP en su propuesta a la justicia electoral"""
1,"En la plataforma electoral de La Libertad Avanza aparece la vuelta de ""un sistema de capitalizacion privado"" para las jubilaciones. Es decir, el sistema que funciono en la Argentina entre 1993 y 2008, con las AFJP."
1,La dolarizacion que propone (Milei) la tiene Zimbabue
0,"Javier Milei a Sergio Massa, en el debate por el balotaje 2023: ""Con vos como ministro de Economia cayeron 33% los ingresos"""
1,Ninguno de los indicadores que miden la evolucion de los salarios registra una caida del 33% en terminos reales. No se llega a esta cifra durante la gestion de Massa como ministro ni durante la gestion completa del Frente de Todos. La medicion de ingresos que elabora el INDEC a traves de la Encuesta Permanente de Hogares muestra un comportamiento parecido.
0,90% de las exportaciones de 5 provincias argentinas son a China
1,"De acuerdo con los datos de comercio exterior del INDEC, en 2022 la Argentina destino el 9% del total de su comercio exterior a China, mientras que en el primer semestre de 2023 se exporto a ese pais el 8,1% del total. En 2022 solo 6 provincias destinaron el 20% de sus exportaciones o mas hacia China."
0,"La Argentina inicio el siglo XX siendo el pais mas rico del mundo. Hoy, al tipo de cambio paralelo, somos 130"
1,"Segun datos historicos publicados por la serie Maddison, en 1900 la Argentina se ubicaba en el puesto 13 entre 45 paises analizados, si se tiene en cuenta el PBI per capita por la Paridad del Poder Adquisitivo, y no en el primero. "
1,"Javier Milei, en el debate por el balotaje 2023: ""La cantidad de empleados en el sector privado esta estancado desde 2011"""
1,"Sergio Massa, en el debate por el balotaje 2023: ""El 90% de los chicos que van a la Universidad de Jose C. Paz o de Florencio Varela es primera generacion de estudiantes universitarios"""
1,"En 2022 (ultimo dato disponible), el 92% de los alumnos de la Universidad Nacional Arturo Jauretche era primera generacion de estudiantes universitarios en referencia al padre y 86%, en referencia a la madre. En 2021 (ultimo dato disponible), el 90% de los estudiantes de la Universidad Nacional de Jose C. Paz era la primera generacion de estudiantes universitarios."
1,"Javier Milei, en el debate por el balotaje 2023: ""El 16% de los chicos termina el secundario en tiempo y forma"""
1,"De acuerdo con un informe del Observatorio Argentinos por la Educacion, solo 13 de cada 100 estudiantes completaron sus 12 anos de estudios primarios y secundarios en tiempo y forma (sin abandonar ni repetir) y con conocimientos satisfactorios de Lengua y Matematica."
0,"Sergio Massa, en el debate por el balotaje 2023: ""Baje 80% el robo automotor (en Tigre)"""
1,"De acuerdo con los datos publicados por el Centro de Experimentacion de Seguridad Vial (CESVI) Argentina, en la gestion de Massa en ese municipio el robo automotor descendio un 69,8%, 10 puntos menos al porcentaje que menciono el candidato presidencial de Union por la Patria."
1,"Sergio Massa, en el debate por el balotaje 2023: ""La eliminacion del Banco Central (que propone Milei) la tiene Micronesia"""
1,"Existen 10 paises en el mundo que no tienen un banco central. En la mayoria son casos de territorios pequenos e islas con baja poblacion. Micronesia, nombrado por el candidato presidencial por Union por la Patria, esta dentro de esa lista."
1,"Javier Milei, en el debate por el balotaje 2023: ""La Argentina, en los ultimos 123 anos, tuvo 113 de deficit fiscal"""
1,"El pais registro deficit fiscal financiero (es decir, la diferencia entre los gastos corrientes de un Estado y su recaudacion de impuestos, incluyendo el pago de intereses de la deuda) en 113 anos de los ultimos 123, como dijo en el debate de cara al balotaje 2023 el candidato presidencial de La Libertad Avanza."
0,"Javier Milei, sobre el Banco Central: ""Desde que lo nacionalizamos en 1946, nuestra inflacion fue del 250%"""
0,"En 2015 Victoria Villarruel tuiteo: ""Lo lamento por los diabeticos, pero con mi plata no"""
1,"Villarruel desmintio en sus redes sociales la desinformacion y, en el debate de vicepresidentes del 8 de noviembre, dijo: ""No vamos a quitar el subsidio a los medicamentos, no vamos a cerrar hospitales ni quitar pensiones por discapacidad""."
0,El polvo blanco que cubre a Sergio Massa en esta fotografia viral es cocaina
1,"En la foto original, tomada en La Rioja en 2015, el sorbete esta sobre su boca. Y el candidato no esta cubierto de cocaina sino de harina; un producto que se acostumbra arrojar en el Festival Chayero Sanagasteno de esa provincia. "
0,Sergio Massa toma cocaina en este video
1,"Se viralizo un video en redes sociales en el que se ve, supuestamente, al candidato presidencial Sergio Massa consumiendo lo que parece cocaina. Sin embargo, el video desinformativo se basa en otro que circula desde, al menos, 2016, que fue manipulado para reemplazar al hombre original con la imagen y la voz de Massa. No es la primera vez que circula desinformacion que relaciona al candidato de Union por la Patria con el consumo de drogas."
0,Sergio Massa anuncio la eliminacion de los planes sociales
1,"El Gobierno nacional publico recientemente el Decreto Ndeg 565/2023, que transfiere el programa ""Potenciar Trabajo"" del Ministerio de Desarrollo Social al Ministerio de Trabajo de la Nacion. Esto no implica la eliminacion de este programa ni de los planes sociales, sino un cambio de area. La medida no incluye ningun otro plan social."
0,Sergio Massa provoco un corte en la cabeza de un camarografo tras la entrevista en LN+
0,"Usuarios comparten en redes sociales la imagen de un corte en una cabeza y aseguran que, en un arranque de ira, Sergio Massa habria lanzado un vaso de vidrio a un camarografo luego de la entrevista del 5 de noviembre en LN +."
0,Lionel Messi apoyo publicamente a Sergio Massa
