clasificacion,texto,sentiment_probabilities,sentiment_label,veracity_label,veracity_probabilities
1,No se divulgaron resultados oficiales previos al cierre de mesas en el balotaje,"[0.9999589920043945, 4.104002800886519e-05]",0,0,"[0.711641788482666, 0.2883581817150116]"
0,"Se difundieron en redes sociales supuestos primeros ""resultados oficiales"" del voto de argentinos en el exterior. La lista enumeraba a los candidatos mas votados entre Sergio Massa, de Union por la Patria, y Javier Mileil, de La Libertad Avanza, en paises como Nueva Zelanda, Australia y Malasia. ","[0.00012985366629436612, 0.9998701810836792]",1,0,"[0.6109246611595154, 0.389075368642807]"
1,"En el balotaje 2023, las boletas con el numero de lista arrancado se consideran validas","[0.5204170942306519, 0.47958290576934814]",0,1,"[0.30963167548179626, 0.6903683543205261]"
0,"En el balotaje 2023, las boletas con el numero de lista arrancado se consideran invalidas","[0.9994339346885681, 0.0005660828901454806]",0,1,"[0.3529888093471527, 0.6470111608505249]"
0,"Miles de usuarios denuncian que, durante la jornada electoral del balotaje, hay boletas de La Libertad Avanza en el cuarto oscuro a las que se les arranco el numero de lista, y advierten que son invalidas.","[0.9999581575393677, 4.186057412880473e-05]",0,1,"[0.3470920920372009, 0.6529079079627991]"
1,"Miles de usuarios denuncian que, durante la jornada electoral del balotaje, hay boletas de La Libertad Avanza en el cuarto oscuro a las que se les arranco el numero de lista, y advierten que son invalidas. Pero esto es falso. Aunque tenga esta rotura, una boleta es valida siempre que este visible el nombre del partido y la categoria de candidatos a elegir, confirmo a Reverso la Camara Nacional Electoral.","[0.9999418258666992, 5.822543607791886e-05]",0,1,"[0.34381112456321716, 0.6561888456344604]"
0,"Sergio Massa pronuncio la frase ""voy a poder con los narcos porque los conozco"" en el ultimo debate segun Infobae","[0.00045172666432335973, 0.9995482563972473]",1,0,"[0.9655683636665344, 0.03443164750933647]"
0,"Decenas de miles de usuarios comparten una placa de Infobae con una frase del candidato presidencial de Union por la Patria, diciendo que va ""a poder con los narcos"" porque los conoce. Pero es falsa. Segun las publicaciones virales, el funcionario habria hecho esos comentarios durante el ultimo debate presidencial, el 12 de noviembre.","[0.9999452829360962, 5.474248973769136e-05]",0,0,"[0.6439446806907654, 0.3560553193092346]"
0,"Mural de Lionel Messi lleva escrito ""Aguante Massa""","[0.18031172454357147, 0.8196883201599121]",1,0,"[0.9776782989501953, 0.022321637719869614]"
0,"Aparece Mural de Lionel Messi en Rosario con la frase ""Aguante Massa, forros"", en alusion al candidato presidencial de Union por la Patria. ","[0.23597171902656555, 0.7640282511711121]",1,0,"[0.9710932970046997, 0.028906717896461487]"
1,"Durante las elecciones es usual que se viralice desinformacion electoral. La desinformacion en Tik Tok se caracteriza por contar con videos compilados con diversos fragmentos y hechos aislados sin contexto. En X, los comentarios de usuarios con X Premium  obtienen una optimizacion que los posiciona mas arriba y en Spotify circulan podcasts que reproducen el contenido falso de redes sociales. ","[0.9999105930328369, 8.940106636146083e-05]",0,1,"[0.26932820677757263, 0.7306718230247498]"
0,"Javier Milei, en el debate por el balotaje 2023: ""En la lucha contra el narcotrafico no hay (en Rosario) un solo policia preso""","[0.0003315880021546036, 0.9996684789657593]",1,0,"[0.5081066489219666, 0.49189338088035583]"
1,"De acuerdo con los datos de la Procuraduria de Narcocriminalidad, al menos 3 policias fueron condenados con pena de prision en el marco de causas por narcotrafico en el Departamento de Rosario en 2021.","[0.9929547905921936, 0.007045254111289978]",0,1,"[0.16821451485157013, 0.8317854404449463]"
1,"Es verdadero que Union por la Patria pago a Google por anuncios sobre el sitio ""Loquedicemilei"" durante el ultimo debate","[0.999930739402771, 6.922783359186724e-05]",0,1,"[0.29213854670524597, 0.7078614830970764]"
1,"El Centro de Transparencia de Publicidad Politica de Google muestra que desde el 11 de noviembre (dia previo al debate) hasta el 13 de noviembre pasado el anunciante ""Union por la Patria"" pago por 12 anuncios para promocionar el sitio web ""Loquedicemilei"".","[0.9998958110809326, 0.00010417020530439913]",0,1,"[0.2553344666957855, 0.7446655035018921]"
0,Sergio Massa propone arancelar la universidad publica segun Clarin,"[0.0003934497362934053, 0.9996065497398376]",1,0,"[0.9381577372550964, 0.06184220314025879]"
1,"Solamente el 3,5% de los delitos son condenados en la Argentina","[0.9999332427978516, 6.68062930344604e-05]",0,1,"[0.25803104043006897, 0.7419689893722534]"
1,"En 2021, se denunciaron un total de 1,7 millones de hechos presuntamente delictivos en la Argentina, a la vez que se registraron un total de 50 mil sentencias penales condenatorias, segun datos oficiales. Esto da como resultado un 2,9% de delitos con condena, cifra similar a la expresada por Milei.","[0.9926450252532959, 0.007354991044849157]",0,1,"[0.11869679391384125, 0.8813031911849976]"
0,AySA le pago a Pablo Echarri $ 15 millones publico LN+,"[0.9999134540557861, 8.651671669213101e-05]",0,0,"[0.9450598359107971, 0.05494019016623497]"
1,Es falso que AySA le pago a Pablo Echarri $ 15 millones y la supuesta noticia no fue publicada por LN+,"[0.9999368190765381, 6.314694473985583e-05]",0,0,"[0.7588893175125122, 0.241110697388649]"
1,"Circula una foto del candidato presidencial de La Libertad Avanza consumiendo lo que parece un medicamento, y en redes se senala que el hecho ocurrio antes del tercer debate presidencial. Sin embargo, ciertos elementos de la imagen dan cuenta de que no fue tomada en ese contexto.","[0.9998795986175537, 0.00012036086991429329]",0,0,"[0.5291735529899597, 0.4708264470100403]"
1,"En 2011 se registro el punto mas alto de PBI per capita en la Argentina, bajo la metodologia de la Paridad de Poder Adquisitivo. Desde entonces, este indicador registro una caida de entre un 9% y un 10%, una reduccion significativa.","[0.9956951141357422, 0.004304897040128708]",0,1,"[0.30719447135925293, 0.6928054690361023]"
0,"Javier Milei, en el debate por el balotaje 2023: ""Cuando uno mira el producto per capita argentino, esta 15% por debajo (de 2011)""","[0.9996728897094727, 0.00032716983696445823]",0,0,"[0.5985809564590454, 0.4014190137386322]"
1,"Milei plantea la vuelta de las AFJP en su propuesta a la justicia electoral""","[0.003395532723516226, 0.9966044425964355]",1,1,"[0.36702075600624084, 0.6329792141914368]"
